id,biolovision_english,biolovision_latin,ebird_species_code
29571,,Retroculus septentrionalis,
29572,,Satanoperca aff. rhynchitis,
29573,,Satanoperca jurupari,
29574,,Awaous flavus,
29575,,Awaous tajasica,
29576,,Ctenogobius phenacus,
29577,,Dormitator maculatus,
29578,,Eleotris amblyopsis,
29579,,Eleotris pisonis,
29580,,Syacium gunteri,
29581,,Lepidosiren paradoxa,
29582,,Carcharhinus falciformis,
29583,,Carcharhinus leucas,
29584,,Carcharhinus limbatus,
29585,,Carcharhinus perezii,
29586,,Galeocerdo cuvier,
29587,,Isogomphodon oxyrhynchus,
29588,,Rhizoprionodon porosus,
29589,,Sphyrna lewini,
29590,,Sphyrna mokarran,
29591,,Sphyrna tiburo,
29592,,Sphyrna tudes,
29593,,Mustelus higmani,
29594,,Ginglymostoma cirratum,
29595,,Hypanus americanus,
29596,,Dasyatis geijskesi,
29597,,Dasyatis guttata,
29598,,Styracura schmardae,
29599,,Gymnura micrura,
29600,,Aetobatus narinari,
29601,,Mobula birostris,
29602,,Rhinobatos percellens,
29603,,Diplobatis pictus,
29604,,Narcine bancroftii,
29605,,Narcine brasiliensis,
29606,,Ariosoma balearicum,
29607,,Cynoponticus savanna,
29608,,Gymnothorax funebris,
29609,,Gymnothorax ocellatus,
29610,,Hoplunnis diomediana,
29611,,Ophichthus cylindroideus,
29612,,Saurida normani,
29613,,Synodus foetens,
29614,,Trachinocephalus myops,
29615,,Batrachoides surinamensis,
29616,,Porichthys plectrodon,
29617,,Parexocoetus brachypterus,
29618,,Holocentrus adscensionis,
29619,,Holocentrus rufus,
29620,,Myripristis jacobus,
29621,,Chirocentrodon bleekerianus,
29622,,Harengula jaguana,
29623,,Odontognathus mucronatus,
29624,,Opisthonema oglinum,
29625,,Sardinella aurita,
29626,,Pellona flavipinnis,
29627,,Pellona harroweri,
29628,,Anchoa hepsetus,
29629,,Anchoa spinifer,
29630,,Anchoviella lepidentostole,
29631,,Lycengraulis grossidens,
29632,,Pterengraulis atherinoides,
29633,,Anableps anableps,
29634,,Dactylopterus volitans,
29635,,Megalops atlanticus,
29636,,Antennarius striatus,
29637,,Halieutichthys aculeatus,
29638,,Ogcocephalus nasutus,
29639,,Ogcocephalus notatus,
29640,,Zalieutes mcgintyi,
29641,,Neoepinnula americana,
29642,,Albula vulpes,
29643,,Lepophidium pheromystax,
29644,,Lepophidium profundorum,
29645,,Neobythites gilli,
29646,,Caranx crysos,
29647,,Caranx hippos,
29648,,Caranx latus,
29649,,Chloroscombrus chrysurus,
29650,,Decapterus macarellus,
29651,,Hemicaranx amblyrhynchus,
29652,,Oligoplites saliens,
29653,,Selar crumenophthalmus,
29654,,Selene brownii,
29655,,Selene setapinnis,
29656,,Selene vomer,
29657,,Seriola rivoliana,
29658,,Trachinotus carolinus,
29659,,Trachinotus cayennensis,
29660,,Trachinotus falcatus,
29661,,Trachurus lathami,
29662,,Centropomus ensiferus,
29663,,Centropomus parallelus,
29664,,Centropomus pectinatus,
29665,,Centropomus undecimalis,
29666,,Chaetodon ocellatus,
29667,,Chaetodon sedentarius,
29668,,Echeneis naucrates,
29669,,Chaetodipterus faber,
29670,,Diapterus auratus,
29671,,Diapterus rhombeus,
29672,,Eucinostomus argenteus,
29673,,Eucinostomus gula,
29674,,Gobionellus oceanicus,
29675,,Anisotremus surinamensis,
29676,,Anisotremus virginicus,
29677,,Conodon nobilis,
29678,,Haemulon aurolineatum,
29679,,Haemulon bonariense,
29680,,Haemulon boschmae,
29681,,Haemulon parra,
29682,,Haemulon plumierii,
29683,,Haemulon steindachneri,
29684,,Haemulon striatum,
29685,,Pomadasys corvinaeformis,
29686,,Orthopristis ruber,
29687,,Lobotes surinamensis,
29688,,Lutjanus cyanopterus,
29689,,Lutjanus jocu,
29690,,Lutjanus purpureus,
29691,,Lutjanus synagris,
29692,,Pristipomoides aquilonaris,
29693,,Pristipomoides freemani,
29694,,Rhomboplites aurorubens,
29695,,Mugil cephalus,
29696,,Mugil curema,
29697,,Mugil incilis,
29698,,Upeneus parvus,
29699,,Polydactylus oligodon,
29700,,Polydactylus virginicus,
29701,,Holacanthus tricolor,
29702,,Pomacanthus arcuatus,
29703,,Pomacanthus paru,
29704,,Pomatomus saltatrix,
29705,,Priacanthus arenatus,
29706,,Rachycentron canadum,
29707,,Nicholsina usta usta,
29708,,Sparisoma chrysopterum,
29709,,Bairdiella ronchus,
29710,,Ctenosciaena gracilicirrhus,
29711,,Cynoscion acoupa,
29712,,Cynoscion jamaicensis,
29713,,Cynoscion microlepidotus,
29714,,Cynoscion similis,
29715,,Cynoscion steindachneri,
29716,,Cynoscion virescens,
29717,,Isopisthus parvipinnis,
29718,,Larimus breviceps,
29719,,Lonchurus elegans,
29720,,Lonchurus lanceolatus,
29721,,Macrodon ancylodon,
29722,,Menticirrhus americanus,
29723,,Micropogonias furnieri,
29724,,Nebris microps,
29725,,Paralonchurus brasiliensis,
29726,,Plagioscion squamosissimus,
29727,,Stellifer microps,
29728,,Stellifer rastrifer,
29729,,Scomberomorus brasiliensis,
29730,,Scomberomorus cavalla,
29731,,Dermatolepis inermis,
29732,,Diplectrum formosum,
29733,,Diplectrum radiale,
29734,,Epinephelus itajara,
29735,,Epinephelus niveatus,
29736,,Hemanthias aureorubens,
29737,,Mycteroperca phenax,
29738,,Serranus atrobranchus,
29739,,Serranus phoebe,
29740,,Sphyraena guachancho,
29741,,Sphyraena picudilla,
29742,,Peprilus paru,
29743,,Trichiurus lepturus,
29744,,Achirus achirus,
29745,,Gymnachirus nudus,
29746,,Trinectes paulistanus,
29747,,Bothus ocellatus,
29748,,Trichopsetta caribbaea,
29749,,Symphurus plagusia,
29750,,Ancylopsetta cycloidea,
29751,,Cyclopsetta chittendeni,
29752,,Cyclopsetta fimbriata,
29753,,Syacium papillosum,
29754,,Pontinus longispinis,
29755,,Scorpaena agassizii,
29756,,Scorpaena isthmensis,
29757,,Bellator ribeiroi,
29758,,Prionotus beanii,
29759,,Prionotus punctatus,
29760,,Prionotus stearnsi,
29761,,Amphiarius rugispinis,
29762,,Aspistor quadriscutis,
29763,,Bagre bagre,
29764,,Cathorops arenatus,
29765,,Cathorops spixii,
29766,,Notarius grandicassis,
29767,,Sciades couma,
29768,,Sciades herzbergii,
29769,,Sciades parkeri,
29770,,Sciades passany,
29771,,Sciades proops,
29772,,Aspredo aspredo,
29773,,Pseudauchenipterus nodosus,
29774,,Hypostomus watwata,
29775,,Fistularia tabacaria,
29776,,Chilomycterus antillarum,
29777,,Diodon hystrix,
29778,,Aluterus heudelotii,
29779,,Stephanolepis setifer,
29780,,Acanthostracion polygonius,
29781,,Acanthostracion quadricornis,
29782,,Colomesus psittacus,
29783,,Lagocephalus laevigatus,
29784,,Sphoeroides testudineus,
29785,,Lophiodes reticulatus,
29786,,Nezumia atlantica,
29787,,Caulolatilus chrysops,
29788,,Mola mola,
29789,,Bembrops anatirostris,
29790,,Polymixia lowei,
29791,,Genyatremus luteus,
29792,,Pristis pectinata,
29793,,Pristis perotteti,
29794,,Rhinoptera bonasus,
29795,,Calamus penna,
29892,Chironius flavolineatus,,
30059,Asolene crassa,,
30060,Asolene granulosa,,
30061,Pomacea sinamarina,,
30062,Marisa cornuarietis,,
30063,Pomacea bridgesi,,
30064,Pomacea dolioides,,
30065,Pomacea glauca,,
30066,Pomacea glauca glauca,,
30067,Pomacea glauca orinoccensis,,
30068,Pomacea urceus,,
30104,Cyclopedus anselini,,
30112,Neocyclotus arataiensis,,
30113,Neocyclotus cayennensis,,
30114,Neocyclotus pari,,
30117,Alcadia kuehni,,
30118,Alcadia pellucida,,
30119,Alcadia sericea,,
30150,Lucidella lirata,,
30207,Nereina punctulata,,
30211,Neritina virginea,,
30233,Stenophysa marmorata,,
30238,Biomphalaria glabrata,,
30239,Biomphalaria kuhniana,,
30240,Biomphalaria schrammi,,
30246,Drepanotrema anatinum,,
30250,Drepanotrema lucidum,,
30251,Drepanotrema surinamense,,
30257,Gundlachia radiata,,
30354,Aroapyrgus vivens,,
30525,Pyrgophorus parvulus,,
30573,Annularia occidentale,,
30743,Achatina immaculata,,
30770,Parmarion martensi,,
31168,Guppya gundlachi,,
31169,Habroconus cassiquiensis,,
31272,Karolus consobrinus,,
31282,Gastrocopta servilis,,
31283,Gastrocopta servilis oblonga,,
31457,Euglandina striata,,
31470,Bostryx demerarensis,,
31476,Bulimulus tenuissimus,,
31477,Bulimulus tenuissimus eyriesii,,
31478,Corona perversa,,
31479,Corona regina,,
31481,Drymaeus meesi,,
31483,Drymaeus rufolineatus,,
31484,Drymaeus surinamensis,,
31488,Orthalicus bensoni,,
31489,Orthalicus pulchellus,,
31519,Plekocheilus aurissciuri,,
31520,Simpulopsis corrugata,,
31521,Simpulopsis limpidus,,
31522,Sultana sultana,,
31650,Labyrinthus bifurcatus,,
31651,Labyrinthus ellipsotomus,,
31652,Labyrinthus leprieurii,,
31653,Labyrinthus manueli,,
31654,Labyrinthus otis,,
31655,Labyrinthus otis orthorhinus,,
31656,Labyrinthus raimondii,,
31665,Pleurodonte orbiculata,,
31668,Solaropsis marmatensis,,
31669,Solaropsis nubeculata,,
31670,Solaropsis undata,,
31708,Happiella surinamensis,,
31710,Tamayoa decolorata,,
31711,Scolodonta cayennensis,,
31712,Scolodonta lutea,,
31714,Pseudosubulina nouraguensis,,
31715,Pseudosubulina theoripkeni,,
31747,Huttonella bicolor,,
31755,Streptartemon deplanchei,,
31757,Streptostele musaecola,,
31758,Strophocheilus oblongus,,
31759,Allopeas clavulinum,,
31760,Allopeas gracile,,
31764,Beckianum beckianum,,
31765,Lamellaxis heurni,,
31766,Allopeas micra,,
31768,Leptinaria unilamellata,,
31769,Obeliscus clavus,,
31770,Obeliscus clavus flavus,,
31771,Obeliscus simpsoni,,
31774,Opeas hannense,,
31782,Subulina octona,,
31789,Omalonyx unguis,,
31811,Succinea propinqua,,
31841,Pupisoma dioscoricola,,
31847,Bothriopupa breviconus,,
31855,Nesopupa maaseni,,
31872,Sterkia eyriesii,,
31883,Angustipes carceralis,,
31884,Diplosolenodes bielenbergi,,
31885,Diplosolenodes guianensis,,
31887,Sarasinula linguaeformis,,
31892,Aylacostoma atra,,
31893,Aylacostoma devians,,
31894,Aylacostoma hohenackeri,,
31897,Melanoides tuberculata,,
31921,Papilionidae sp.,,
31950,Lycaenidae sp.,,
32045,Anser serrirostris,Anser serrirostris,tunbeg1
32049,Canard sylvicole,Sarkidiornis sylvicola,comduc3
32058,African Pygmy Goose,Nettapus auritus,afrpyg1
32067,Eastern Spot-billed Duck,Anas zonorhyncha,spbduc
32124,Stone Partridge,Ptilopachus petrosus,stopar1
32130,Scaled Quail,Callipepla squamata,scaqua
32168,See-see Partridge,Ammoperdix griseogularis,sespar1
32267,Swinhoe's Pheasant,Lophura swinhoii,swiphe1
32293,Green Peafowl,Pavo muticus,grepea1
32295,Pacific Loon,Gavia pacifica,pacloo
32336,Scopoli's Shearwater,Calonectris diomedea,corshe
32371,Storm's Stork,Ciconia stormi,stosto1
32378,Black-headed Ibis,Threskiornis melanocephalus,blhibi1
32380,Straw-necked Ibis,Threskiornis spinicollis,stnibi1
32416,Indian Pond Heron,Ardeola grayii,inpher1
32417,Chinese Pond Heron,Ardeola bacchus,chpher1
32420,Eastern Cattle Egret,Bubulcus coromandus,categr2
32431,Pacific Reef Heron,Egretta sacra,pacreh1
32441,Long-tailed Cormorant,Microcarbo africanus,lotcor1
32449,Pelagic Cormorant,Phalacrocorax pelagicus,pelcor
32453,Little Black Cormorant,Phalacrocorax sulcirostris,libcor1
32456,Japanese Cormorant,Phalacrocorax capillatus,japcor1
32458,Socotra Cormorant,Phalacrocorax nigrogularis,soccor1
32484,Crested Honey Buzzard,Pernis ptilorhynchus,orihob2
32503,Crested Serpent Eagle,Spilornis cheela,crseag1
32603,Northern Harrier,Circus hudsonius,norhar2
32605,Yellow-billed Kite,Milvus aegyptius,
32610,Bald Eagle,Haliaeetus leucocephalus,baleag
32611,Steller's Sea Eagle,Haliaeetus pelagicus,stseag
32686,Slaty-legged Crake,Rallina eurizonoides,sllcra1
32720,African Crake,Crex egregia,afrcra1
32767,Siberian Crane,Grus leucogeranus,sibcra1
32772,Hooded Crane,Grus monacha,hoocra1
32773,Black-necked Crane,Grus nigricollis,blncra1
32789,Senegal Thick-knee,Burhinus senegalensis,setkne1
32792,Bush Stone-Curlew,Burhinus grallarius,butkne1
32793,Great Stone-Curlew,Esacus recurvirostris,grtkne1
32814,Senegal Lapwing,Vanellus lugubris,senlap1
32823,Masked Lapwing,Vanellus miles,maslap1
32847,African Jacana,Actophilornis africanus,afrjac1
32867,Wood Snipe,Gallinago nemoricola,woosni1
32875,Grey-tailed Tattler,Tringa brevipes,gyttat1
32902,Relict Gull,Ichthyaetus relictus,relgul2
32913,Vega Gull,Larus vegae,veggul1
32914,Armenian Gull,Larus armenicus,armgul1
32917,"Crossbill, unidentified",Loxia sp.,crossb
32928,Black-fronted Tern,Chlidonias albostriatus,blfter1
32937,Ancient Murrelet,Synthliboramphus antiquus,ancmur
32945,Horned Puffin,Fratercula corniculata,horpuf
32946,Tufted Puffin,Fratercula cirrhata,tufpuf
32958,Hill Pigeon,Columba rupestris,hilpig1
32963,Trocaz Pigeon,Columba trocaz,tropig1
32964,Bolle's Pigeon,Columba bollii,bolpig1
32965,Laurel Pigeon,Columba junoniae,laupig1
32967,African Olive Pigeon,Columba arquatrix,rampig1
32973,Ashy Wood Pigeon,Columba pulchricollis,aswpig1
32999,Red-eyed Dove,Streptopelia semitorquata,reedov1
33022,Blue-headed Wood Dove,Turtur brehmeri,bhwdov1
33119,Whistling Green Pigeon,Treron formosae,whgpig1
33226,Guinea Turaco,Tauraco persa,guitur1
33237,White-cheeked Turaco,Tauraco leucotis,whctur1
33241,Violet Turaco,Musophaga violacea,viotur1
33305,Chestnut-winged Cuckoo,Clamator coromandus,chwcuc1
33353,Large Hawk-Cuckoo,Hierococcyx sparverioides,larhac2
33366,Himalayan Cuckoo,Cuculus saturatus,himcuc1
33367,Oriental Cuckoo,Cuculus optatus,oricuc2
33412,Pallid Scops Owl,Otus brucei,pasowl3
33436,Rainforest Scops Owl,Otus rutilus,madsco1
33509,Spotted Owlet,Athene brama,spoowl1
33694,White-throated Needletail,Hirundapus caudacutus,whtnee
33719,White-rumped Swift,Apus caffer,whrswi1
33841,Indian Roller,Coracias benghalensis,indrol2
33872,Laughing Kookaburra,Dacelo novaeguineae,laukoo1
33917,White-bellied Kingfisher,Corythornis leucogaster,whbkin1
33918,Malachite Kingfisher,Corythornis cristatus,malkin1
33919,Malagasy Kingfisher,Corythornis vintsioides,malkin2
33964,Green Bee-eater,Merops orientalis,grnbee3
34003,Piping Hornbill,Bycanistes fistulator,piphor1
34112,Hairy-breasted Barbet,Tricholaema hirsuta,habbar1
34131,Crested Barbet,Trachyphonus vaillantii,crebar1
34137,Brown-backed Honeybird,Prodotiscus regulus,wahhon1
34205,Eastern Grey Woodpecker,Dendropicos spodocephalus,gyhwoo1
34241,Northern Flicker,Colaptes auratus,norfli
34247,White-bellied Woodpecker,Dryocopus javensis,whbwoo2
34333,Galah,Eolophus roseicapilla,galah
34341,White Cockatoo,Cacatua alba,whicoc1
34435,Red-crowned Parakeet,Cyanoramphus novaezelandiae,refpar4
34448,Bourke's Parrot,Neopsephotus bourkii,boupar2
34453,Scarlet-chested Parrot,Neophema splendida,sccpar1
34484,Red-winged Parrot,Aprosmictus erythropterus,rewpar1
34485,Superb Parrot,Polytelis swainsonii,suppar1
34490,Slaty-headed Parakeet,Psittacula himalayana,slhpar1
34495,Lord Derby's Parakeet,Psittacula derbiana,derpar1
34503,Black-cheeked Lovebird,Agapornis nigrigenis,blclov1
35058,Buff-rumped Thornbill,Acanthiza reguloides,burtho1
35183,Black-crowned Tchagra,Tchagra senegalus,bkctch1
35434,Steppe Grey Shrike,Lanius pallidirostris,
35437,Long-tailed Fiscal,Lanius cabanisi,lotfis1
35717,Black-headed Jay,Garrulus lanceolatus,blhjay1
35718,Lidth's Jay,Garrulus lidthi,lidjay1
35719,Iberian Magpie,Cyanopica cooki,azwmag3
35784,Fan-tailed Raven,Corvus rhipidurus,fatrav1
35910,Rufous-vented Tit,Periparus rubidiventris,ruvtit2
35924,Caspian Tit,Poecile hyrcanus,castit2
35928,Black-capped Chickadee,Poecile atricapillus,bkcchi
35931,Grey-headed Chickadee,Poecile cinctus,gyhchi
35935,Japanese Tit,Parus minor,gretit4
35959,White-crowned Penduline Tit,Remiz coronatus,wcptit1
36008,Flappet Lark,Mirafra rufocinnamomea,flalar1
36047,Mongolian Lark,Melanocorypha mongolica,monlar1
36053,Sand Lark,Alaudala raytal,sanlar1
36160,Puff-throated Bulbul,Alophoixus pallidus,putbul1
36234,Rock Martin,Ptyonoprogne fuligula,rocmar2
36303,Asian Stubtail,Urosphena squameiceps,asistu1
36319,Rufous-fronted Bushtit,Aegithalos iouschistos,bkbtit3
36326,American Bushtit,Psaltriparus minimus,bushti
36335,Plain Leaf Warbler,Phylloscopus neglectus,pllwar2
36340,Sulphur-bellied Warbler,Phylloscopus griseolus,subwar2
36346,Lemon-rumped Warbler,Phylloscopus chloronotus,parwar1
36429,Thick-billed Warbler,Iduna aedon,thbwar1
36433,Upcher's Warbler,Hippolais languida,upcwar1
36446,Chinese Bush Warbler,Locustella tacsanowskia,chbwar1
36448,Middendorff's Grasshopper Warbler,Locustella ochotensis,migwar
36561,Graceful Prinia,Prinia gracilis,grapri1
36673,Bar-winged Wren-Babbler,Spelaeornis troglodytoides,bwwbab1
36916,House / Eurasian Tree Sparrow,Passer domesticus / montanus,
36920,Balearic Warbler,Sylvia balearica,balwar1
36921,Tristram's Warbler,Sylvia deserticola,triwar1
36922,Elaenia genus Myiopagis,Myiopagis sp.,myiopa1
36946,Ashy-throated Parrotbill,Sinosuthora alphonsiana,astpar1
37100,Ruby-crowned Kinglet,Regulus calendula,ruckin
37119,Marsh Wren,Cistothorus palustris,marwre
37132,Winter Wren,Troglodytes hiemalis,winwre3
37164,Red-breasted Nuthatch,Sitta canadensis,rebnut
37169,Eastern Rock Nuthatch,Sitta tephronota,pernut1
37186,Northern Mockingbird,Mimus polyglottos,normoc
37250,White-cheeked Starling,Spodiopsar cineraceus,whcsta1
37251,Black-collared Starling,Gracupica nigricollis,bkcsta1
37464,Asian Brown Flycatcher,Muscicapa latirostris,asbfly
37478,Little Grey Flycatcher,Muscicapa epulata,ligfly2
37576,Rufous-tailed Robin,Larvivora sibilans,rutrob1
37580,White-bellied Redstart,Luscinia phoenicuroides,whbred1
37592,Golden Bush Robin,Tarsiger chrysaeus,gobrob1
37609,Blue Whistling Thrush,Myophonus caeruleus,blwthr1
37640,Daurian Redstart,Phoenicurus auroreus,daured1
37642,Blue-fronted Redstart,Phoenicurus frontalis,blfred1
37659,Canary Islands Stonechat,Saxicola dacotiae,caisto1
37661,African Stonechat,Saxicola torquatus,afrsto1
37664,Pied Bush Chat,Saxicola caprata,piebus1
37686,Hooded Wheatear,Oenanthe monacha,hoowhe1
37701,Kurdish Wheatear,Oenanthe xanthoprymna,retwhe3
37918,Saxaul Sparrow,Passer ammodendri,saxspa1
37923,Dead Sea Sparrow,Passer moabiticus,desspa1
37937,Desert Sparrow,Passer simplex,desspa3
37941,Pale Rockfinch,Carpospiza brachydactyla,palroc1
37949,Pere David's Snowfinch,Pyrgilauda davidiana,pedsno1
38067,Western Bluebill,Spermophaga haematina,wesblu1
38129,African Silverbill,Euodice cantans,afrsil1
38132,Magpie Mannikin,Lonchura fringilloides,magman1
38165,Quailfinch Indigobird,Vidua nigeriae,quaind1
38170,Shaft-tailed Whydah,Vidua regia,shtwhy1
38177,Altai Accentor,Prunella himalayana,himacc1
38178,Robin Accentor,Prunella rubeculoides,robacc1
38180,Brown Accentor,Prunella fulvescens,broacc1
38186,Forest Wagtail,Dendronanthus indicus,forwag1
38187,Eastern Yellow Wagtail,Motacilla tschutschensis,eaywag
38190,Mountain Wagtail,Motacilla clara,mouwag1
38191,African Pied Wagtail,Motacilla aguimp,afpwag1
38219,African Rock Pipit,Anthus crenatus,yetpip1
38230,Blue Chaffinch (Tenerife),Fringilla teydea teydea,
38235,Evening Grosbeak,Hesperiphona vespertina,evegro
38242,Azores Bullfinch,Pyrrhula murina,eurbul1
38278,Red-fronted Rosefinch,Carpodacus puniceus,refros1
38315,Grey-capped Greenfinch,Chloris sinica,origre
38356,Scottish Crossbill,Loxia scotica,scocro1
38359,Red-fronted Serin,Serinus pusillus,fifser1
38366,American Goldfinch,Spinus tristis,amegfi
38368,Pine Siskin,Spinus pinus,pinsis
38431,Yellow-breasted Chat,Icteria virens,yebcha
38469,Common Grackle,Quiscalus quiscula,comgra
38478,Meadow Bunting,Emberiza cioides,meabun1
38482,House Bunting,Emberiza sahari,houbun3
38501,Fox Sparrow,Passerella iliaca,foxspa
38509,Savannah Sparrow,Passerculus sandwichensis,savspa
38525,Lark Sparrow,Chondestes grammacus,larspa
38600,Cuban Grassquit,Tiaris canorus,cubgra
38644,Toucanet de Whitely,Aulacorhynchus whitelianus,chttou2
38646,Paracordulia sp.,,
